# N	pid	stat 	E 	Px	Py	Pz	Eta	Phi
14 -421 0 2.2627 0.96355 0.0896573 -0.840017 -0.784925 0.0927818
27 -421 0 7.09859 -1.35035 0.785493 6.66871 2.15793 2.61474
10 -421 0 10.3255 2.73352 -2.61303 -9.42547 -1.64444 5.52032
28 -421 0 4.92493 4.20423 0.371355 1.72157 0.397357 0.0881003
16 -421 0 4.16115 -1.58925 1.23412 3.12869 1.22483 2.48132
13 -421 0 3.61304 2.64068 0.693074 1.45698 0.511121 0.256671
103 -421 0 2.78628 1.26451 -0.712546 1.47612 0.893342 5.77004
50 -421 0 14.1741 -0.455357 -9.79421 -10.0644 -0.899974 4.66593
33 -421 0 2.66643 1.82605 0.447586 -0.312093 -0.165245 0.240373
21 -421 0 2.70368 -0.302317 1.79843 0.711655 0.380953 1.73734
35 -421 0 3.65335 -2.18867 -2.0575 0.919629 0.301551 3.89611
101 -421 0 3.49485 0.0921161 0.405781 2.92627 2.64871 1.34757
39 -421 0 3.98766 -1.83995 0.114228 3.00419 1.26458 3.07959
57 -421 0 8.87243 -3.58276 1.90807 7.66585 1.39264 2.65223
70 -421 0 9.26177 3.43423 -2.51378 -8.01182 -1.38982 5.65132
12 -421 0 6.64143 3.08122 -0.410778 5.56492 1.34569 6.15065
55 -421 0 4.82395 -1.59427 3.33564 2.4748 0.627417 2.01665
55 -421 0 7.80555 -1.68348 5.5567 4.87214 0.76294 1.86497
65 -421 0 5.18897 -1.7048 0.918784 4.43818 1.56697 2.64728
36 -421 0 12.0933 -7.47683 -8.30703 4.22607 0.369652 3.97954
34 -421 0 10.5986 -4.10478 5.91055 7.55432 0.916139 2.17781
35 -421 0 4.04543 0.651791 0.89247 3.41564 1.84674 0.940008
26 -421 0 7.01364 -1.65762 2.84615 5.9047 1.34691 2.09818
50 -421 0 4.07669 -0.24459 0.713956 3.5457 2.25147 1.90085
40 -421 0 4.66457 1.22984 -3.69492 -1.76511 -0.439024 5.0337
21 -421 0 8.68508 -3.9383 0.560185 -7.49188 -1.39022 3.0003
15 -421 0 7.68499 4.02319 2.79629 -5.61926 -0.98153 0.607392
39 -421 0 2.81292 -0.140115 1.60157 1.3602 0.768232 1.65806
41 -421 0 3.5964 0.133801 -1.26029 -2.80181 -1.53409 4.81816
27 -421 0 5.4626 -1.34545 1.29417 4.783 1.67004 2.37562
41 -421 0 8.86923 0.324789 1.92666 -8.44789 -2.17038 1.40379
25 -421 0 7.47917 -6.02079 3.64163 1.71725 0.241691 2.59762
46 -421 0 12.1769 9.69027 6.68756 -2.48491 -0.209516 0.604072
50 -421 0 2.30149 -0.408083 0.692791 1.0829 1.10667 2.10312
16 -421 0 9.48753 -2.33189 8.55898 2.80028 0.310648 1.83679
24 -421 0 3.46282 -1.28477 0.0594795 -2.61901 -1.45976 3.09533
10 -421 0 4.37666 1.26371 2.57607 2.72844 0.846221 1.11473
10 -421 0 8.99955 8.60932 -1.69251 0.727469 0.0828162 6.08907
